i:80 Wynik dokladny: 100.14         Wynik przyblizony: 195.67979320632872       Roznica^2: 9127.852085908056   Roznica: 95.53979320632872
i:81 Wynik dokladny: 444.96         Wynik przyblizony: 198.05546933180733       Roznica^2: 60961.847264480486   Roznica: 246.90453066819265
i:82 Wynik dokladny: 134.23         Wynik przyblizony: 196.60019473522357       Roznica^2: 3890.041191309711   Roznica: 62.37019473522358
i:83 Wynik dokladny: 179.29         Wynik przyblizony: 191.43592919494037       Roznica^2: 147.52359600850505   Roznica: 12.14592919494038
i:84 Wynik dokladny: 82.27         Wynik przyblizony: 182.99546572623476       Roznica^2: 10145.619445766893   Roznica: 100.72546572623476
i:85 Wynik dokladny: 118.87         Wynik przyblizony: 171.9861602166725       Roznica^2: 2821.326476163221   Roznica: 53.11616021667248
i:86 Wynik dokladny: 0.0         Wynik przyblizony: 159.33065122738572       Roznica^2: 25386.256420542828   Roznica: 159.33065122738572
i:87 Wynik dokladny: 0.0         Wynik przyblizony: 146.08953795737213       Roznica^2: 21342.153100598473   Roznica: 146.08953795737213
i:88 Wynik dokladny: 0.0         Wynik przyblizony: 133.37249636979567       Roznica^2: 17788.22278791116   Roznica: 133.37249636979567
i:89 Wynik dokladny: 0.0         Wynik przyblizony: 122.24528242380599       Roznica^2: 14943.90907487609   Roznica: 122.24528242380599
i:90 Wynik dokladny: 0.0         Wynik przyblizony: 113.64041603681495       Roznica^2: 12914.14415702039   Roznica: 113.64041603681495
i:91 Wynik dokladny: 0.0         Wynik przyblizony: 108.27903093839771       Roznica^2: 11724.348540958488   Roznica: 108.27903093839771
i:92 Wynik dokladny: 0.0         Wynik przyblizony: 106.61043981488817       Roznica^2: 11365.785877523893   Roznica: 106.61043981488817
i:93 Wynik dokladny: 0.0         Wynik przyblizony: 108.77447950812505       Roznica^2: 11831.887392263518   Roznica: 108.77447950812505
i:94 Wynik dokladny: 0.0         Wynik przyblizony: 114.58979194178056       Roznica^2: 13130.820417260556   Roznica: 114.58979194178056
i:95 Wynik dokladny: 0.0         Wynik przyblizony: 123.56902289613585       Roznica^2: 15269.303419505746   Roznica: 123.56902289613585
i:96 Wynik dokladny: 0.0         Wynik przyblizony: 133.92065589855932       Roznica^2: 17934.742076300332   Roznica: 133.92065589855932
i:97 Wynik dokladny: 0.0         Wynik przyblizony: 117.96240606173788       Roznica^2: 13915.129243874333   Roznica: 117.96240606173788
i:98 Wynik dokladny: 0.0         Wynik przyblizony: 129.19155010237301       Roznica^2: 16690.456617853957   Roznica: 129.19155010237301
i:99 Wynik dokladny: 0.0         Wynik przyblizony: 142.36090739655288       Roznica^2: 20266.6279547699   Roznica: 142.36090739655288
i:100 Wynik dokladny: 0.0         Wynik przyblizony: 156.36681551483707       Roznica^2: 24450.580994251093   Roznica: 156.36681551483707
i:101 Wynik dokladny: 0.0         Wynik przyblizony: 170.03550460382843       Roznica^2: 28912.07282587856   Roznica: 170.03550460382843
i:102 Wynik dokladny: 0.0         Wynik przyblizony: 182.2214655646128       Roznica^2: 33204.662512515366   Roznica: 182.2214655646128
i:103 Wynik dokladny: 61.84         Wynik przyblizony: 191.90344982911543       Roznica^2: 16916.500981450827   Roznica: 130.06344982911543
i:104 Wynik dokladny: 52.37         Wynik przyblizony: 198.27005544076798       Roznica^2: 21286.82617761917   Roznica: 145.90005544076797
i:105 Wynik dokladny: 41.09         Wynik przyblizony: 200.78772686912683       Roznica^2: 25503.36396716623   Roznica: 159.69772686912683
i:106 Wynik dokladny: 66.09         Wynik przyblizony: 199.2454698110452       Roznica^2: 17730.379140600173   Roznica: 133.1554698110452
i:107 Wynik dokladny: 55.33         Wynik przyblizony: 193.77253363940702       Roznica^2: 19166.33512049835   Roznica: 138.44253363940703
i:108 Wynik dokladny: 49.14         Wynik przyblizony: 184.82757961585065       Roznica^2: 18411.119262007815   Roznica: 135.68757961585067
i:109 Wynik dokladny: 22.22         Wynik przyblizony: 173.1602426290321       Roznica^2: 22782.956844911077   Roznica: 150.9402426290321
i:110 Wynik dokladny: 0.0         Wynik przyblizony: 159.7483077899569       Roznica^2: 25519.521841754802   Roznica: 159.7483077899569
i:111 Wynik dokladny: 0.0         Wynik przyblizony: 145.71576682107371       Roznica^2: 21233.084700253527   Roznica: 145.71576682107371
i:112 Wynik dokladny: 0.0         Wynik przyblizony: 132.23862155075952       Roznica^2: 17487.053029644998   Roznica: 132.23862155075952
i:113 Wynik dokladny: 0.0         Wynik przyblizony: 120.44632868364562       Roznica^2: 14507.318093368793   Roznica: 120.44632868364562
i:114 Wynik dokladny: 0.0         Wynik przyblizony: 111.32714530042745       Roznica^2: 12393.733280742485   Roznica: 111.32714530042745
i:115 Wynik dokladny: 0.0         Wynik przyblizony: 105.6453076400037       Roznica^2: 11160.931026351023   Roznica: 105.6453076400037
i:116 Wynik dokladny: 0.0         Wynik przyblizony: 103.87698402374191       Roznica^2: 10790.427809868732   Roznica: 103.87698402374191
i:117 Wynik dokladny: 0.0         Wynik przyblizony: 106.17036940867072       Roznica^2: 11272.147340373604   Roznica: 106.17036940867072
i:118 Wynik dokladny: 0.0         Wynik przyblizony: 112.33326585914742       Roznica^2: 12618.762618581895   Roznica: 112.33326585914742
i:119 Wynik dokladny: 0.0         Wynik przyblizony: 121.84918975970064       Roznica^2: 14847.225045095534   Roznica: 121.84918975970064
i:120 Wynik dokladny: 0.0         Wynik przyblizony: 132.8828645171807       Roznica^2: 17657.855682291403   Roznica: 132.8828645171807
i:121 Wynik dokladny: 0.0         Wynik przyblizony: 116.0256327972869       Roznica^2: 13461.947466010859   Roznica: 116.0256327972869
i:122 Wynik dokladny: 0.0         Wynik przyblizony: 127.88735228686937       Roznica^2: 16355.174874945833   Roznica: 127.88735228686937
i:123 Wynik dokladny: 0.0         Wynik przyblizony: 141.79858376776974       Roznica^2: 20106.838358545214   Roznica: 141.79858376776974
i:124 Wynik dokladny: 0.0         Wynik przyblizony: 156.59349179413041       Roznica^2: 24521.521672278388   Roznica: 156.59349179413041
i:125 Wynik dokladny: 0.0         Wynik przyblizony: 171.03218410916475       Roznica^2: 29252.008001151225   Roznica: 171.03218410916475
i:126 Wynik dokladny: 0.0         Wynik przyblizony: 183.90462123391387       Roznica^2: 33820.90971118933   Roznica: 183.90462123391387
i:127 Wynik dokladny: 178.44         Wynik przyblizony: 194.1320242338656       Roznica^2: 246.23962455622512   Roznica: 15.692024233865595
i:128 Wynik dokladny: 57.5         Wynik przyblizony: 200.85728215138295       Roznica^2: 20551.310345831218   Roznica: 143.35728215138295
i:129 Wynik dokladny: 28.03         Wynik przyblizony: 203.5167824785726       Roznica^2: 30795.61082468185   Roznica: 175.4867824785726
i:130 Wynik dokladny: 74.0         Wynik przyblizony: 201.88764489358903       Roznica^2: 16355.249716428727   Roznica: 127.88764489358903
i:131 Wynik dokladny: 37.0         Wynik przyblizony: 196.1063998211739       Roznica^2: 25314.84646405525   Roznica: 159.1063998211739
i:132 Wynik dokladny: 48.35         Wynik przyblizony: 186.65754645437391       Roznica^2: 19128.9774062288   Roznica: 138.30754645437392
i:133 Wynik dokladny: 43.38         Wynik przyblizony: 174.33294913624704       Roznica^2: 17148.674887480505   Roznica: 130.95294913624704
i:134 Wynik dokladny: 0.0         Wynik przyblizony: 160.1654749015261       Roznica^2: 25652.979350431386   Roznica: 160.1654749015261
i:135 Wynik dokladny: 0.0         Wynik przyblizony: 145.34243370652229       Roznica^2: 21124.423035734824   Roznica: 145.34243370652229
i:136 Wynik dokladny: 0.0         Wynik przyblizony: 131.10607551765912       Roznica^2: 17188.803037642137   Roznica: 131.10607551765912
i:137 Wynik dokladny: 0.0         Wynik przyblizony: 118.64948313425626       Roznica^2: 14077.69984802616   Roznica: 118.64948313425626
i:138 Wynik dokladny: 0.0         Wynik przyblizony: 109.01658548200766       Roznica^2: 11884.615910155882   Roznica: 109.01658548200766
i:139 Wynik dokladny: 0.0         Wynik przyblizony: 103.01467079737955       Roznica^2: 10612.022399492484   Roznica: 103.01467079737955
i:140 Wynik dokladny: 0.0         Wynik przyblizony: 101.14673156470096       Roznica^2: 10230.661306221673   Roznica: 101.14673156470096
i:141 Wynik dokladny: 0.0         Wynik przyblizony: 103.56931106132973       Roznica^2: 10726.602193718476   Roznica: 103.56931106132973
i:142 Wynik dokladny: 0.0         Wynik przyblizony: 110.07938419552056       Roznica^2: 12117.470824865022   Roznica: 110.07938419552056
i:143 Wynik dokladny: 0.0         Wynik przyblizony: 120.131372092738       Roznica^2: 14431.546560883871   Roznica: 120.131372092738
i:144 Wynik dokladny: 0.0         Wynik przyblizony: 131.84635934086478       Roznica^2: 17383.46247144044   Roznica: 131.84635934086478
i:145 Wynik dokladny: 0.0         Wynik przyblizony: 114.09125990695993       Roznica^2: 13016.815587157484   Roznica: 114.09125990695993
i:146 Wynik dokladny: 0.0         Wynik przyblizony: 126.58477085194387       Roznica^2: 16023.704211639139   Roznica: 126.58477085194387
i:147 Wynik dokladny: 0.0         Wynik przyblizony: 141.2369570646994       Roznica^2: 19947.87804089574   Roznica: 141.2369570646994
i:148 Wynik dokladny: 0.0         Wynik przyblizony: 156.81988713817682       Roznica^2: 24592.47700203052   Roznica: 156.81988713817682
i:149 Wynik dokladny: 0.0         Wynik przyblizony: 172.0276283621675       Roznica^2: 29593.50491991201   Roznica: 172.0276283621675
i:150 Wynik dokladny: 0.0         Wynik przyblizony: 185.58569085453314       Roznica^2: 34442.04864995435   Roznica: 185.58569085453314
i:151 Wynik dokladny: 25.05         Wynik przyblizony: 196.357836615599       Roznica^2: 29346.37488591676   Roznica: 171.307836615599
i:152 Wynik dokladny: 69.9         Wynik przyblizony: 203.4413023369167       Roznica^2: 17833.27942983979   Roznica: 133.5413023369167
i:153 Wynik dokladny: 60.68         Wynik przyblizony: 206.24245578478852       Roznica^2: 21188.42853409851   Roznica: 145.5624557847885
i:154 Wynik dokladny: 132.84         Wynik przyblizony: 204.5265453498172       Roznica^2: 5138.960784191399   Roznica: 71.68654534981721
i:155 Wynik dokladny: 479.37         Wynik przyblizony: 198.43737348470214       Roznica^2: 78923.14064078387   Roznica: 280.9326265152979
i:156 Wynik dokladny: 190.76         Wynik przyblizony: 188.48524529120198       Roznica^2: 5.174508985198736   Roznica: 2.274754708798014
i:157 Wynik dokladny: 63.33         Wynik przyblizony: 175.5042022289572       Roznica^2: 12583.05164570299   Roznica: 112.17420222895721
i:158 Wynik dokladny: 1.47         Wynik przyblizony: 160.5821249896737       Roznica^2: 25316.668318729546   Roznica: 159.1121249896737
i:159 Wynik dokladny: 0.0         Wynik przyblizony: 144.96956328895465       Roznica^2: 21016.174280190226   Roznica: 144.96956328895465
i:160 Wynik dokladny: 0.0         Wynik przyblizony: 129.97493312547115       Roznica^2: 16893.483240970698   Roznica: 129.97493312547115
i:161 Wynik dokladny: 0.0         Wynik przyblizony: 116.85486453710789       Roznica^2: 13655.059365985835   Roznica: 116.85486453710789
i:162 Wynik dokladny: 0.0         Wynik przyblizony: 106.70888929667382       Roznica^2: 11386.787054929788   Roznica: 106.70888929667382
i:163 Wynik dokladny: 0.0         Wynik przyblizony: 100.3872942809498       Roznica^2: 10077.608853050016   Roznica: 100.3872942809498
i:164 Wynik dokladny: 0.0         Wynik przyblizony: 98.41986289222655       Roznica^2: 9686.469411724673   Roznica: 98.41986289222655
i:165 Wynik dokladny: 0.0         Wynik przyblizony: 100.971476381553       Roznica^2: 10195.239042670515   Roznica: 100.971476381553
i:166 Wynik dokladny: 0.0         Wynik przyblizony: 107.82829591990831       Roznica^2: 11626.941400991316   Roznica: 107.82829591990831
i:167 Wynik dokladny: 0.0         Wynik przyblizony: 118.41568343341567       Roznica^2: 14022.274083002912   Roznica: 118.41568343341567
i:168 Wynik dokladny: 0.0         Wynik przyblizony: 130.81120887683403       Roznica^2: 17111.572367818702   Roznica: 130.81120887683403
i:169 Wynik dokladny: 0.0         Wynik przyblizony: 112.15941524203747       Roznica^2: 12579.734427435787   Roznica: 112.15941524203747
i:170 Wynik dokladny: 0.0         Wynik przyblizony: 125.28389189097862       Roznica^2: 15696.05356735042   Roznica: 125.28389189097862
i:171 Wynik dokladny: 0.0         Wynik przyblizony: 140.67606440774068       Roznica^2: 19789.755097250803   Roznica: 140.67606440774068
i:172 Wynik dokladny: 0.0         Wynik przyblizony: 157.04598658350423       Roznica^2: 24663.441901986193   Roznica: 157.04598658350423
i:173 Wynik dokladny: 0.0         Wynik przyblizony: 173.0217715695126       Roznica^2: 29936.533437052596   Roznica: 173.0217715695126
i:174 Wynik dokladny: 0.0         Wynik przyblizony: 187.26456331712626       Roznica^2: 35068.01667435399   Roznica: 187.26456331712626
i:175 Wynik dokladny: 133.86         Wynik przyblizony: 198.58073986050712       Roznica^2: 4188.774168091434   Roznica: 64.72073986050711
i:176 Wynik dokladny: 49.74         Wynik przyblizony: 206.02194520801868       Roznica^2: 24424.04639800215   Roznica: 156.28194520801867
i:177 Wynik dokladny: 463.7         Wynik przyblizony: 208.96456663594125       Roznica^2: 64890.14101117481   Roznica: 254.73543336405874
i:178 Wynik dokladny: 515.92         Wynik przyblizony: 207.16199676309884       Roznica^2: 95331.50456283824   Roznica: 308.7580032369011
i:179 Wynik dokladny: 488.11         Wynik przyblizony: 200.76530056560773       Roznica^2: 82566.97629304124   Roznica: 287.3446994343923
i:180 Wynik dokladny: 379.74         Wynik przyblizony: 190.31055532561544       Roznica^2: 35883.51450964573   Roznica: 189.42944467438457
i:181 Wynik dokladny: 211.86         Wynik przyblizony: 176.6739244938529       Roznica^2: 1238.0599095242862   Roznica: 35.18607550614712
i:182 Wynik dokladny: 2.54         Wynik przyblizony: 160.99823051614817       Roznica^2: 25109.010818308754   Roznica: 158.45823051614818
i:183 Wynik dokladny: 0.0         Wynik przyblizony: 144.5971802130299       Roznica^2: 20908.344525559445   Roznica: 144.5971802130299
i:184 Wynik dokladny: 0.0         Wynik przyblizony: 128.8452691364113       Roznica^2: 16601.103378834265   Roznica: 128.8452691364113
i:185 Wynik dokladny: 0.0         Wynik przyblizony: 115.06259150650018       Roznica^2: 13239.399964191729   Roznica: 115.06259150650018
i:186 Wynik dokladny: 0.0         Wynik przyblizony: 104.40420927029817       Roznica^2: 10900.238913356214   Roznica: 104.40420927029817
i:187 Wynik dokladny: 0.0         Wynik przyblizony: 97.76335174567707       Roznica^2: 9557.67294454898   Roznica: 97.76335174567707
i:188 Wynik dokladny: 0.0         Wynik przyblizony: 95.69655823715901       Roznica^2: 9157.831258437966   Roznica: 95.69655823715901
i:189 Wynik dokladny: 0.0         Wynik przyblizony: 98.37703707175223       Roznica^2: 9678.041423016912   Roznica: 98.37703707175223
i:190 Wynik dokladny: 0.0         Wynik przyblizony: 105.58014981671518       Roznica^2: 11147.168035320023   Roznica: 105.58014981671518
i:191 Wynik dokladny: 0.0         Wynik przyblizony: 116.70223717920376       Roznica^2: 13619.41216263113   Roznica: 116.70223717920376
i:192 Wynik dokladny: 0.0         Wynik przyblizony: 129.77748154276122       Roznica^2: 16842.19471558173   Roznica: 129.77748154276122
i:193 Wynik dokladny: 0.0         Wynik przyblizony: 110.23022648667816       Roznica^2: 12150.702831304365   Roznica: 110.23022648667816
i:194 Wynik dokladny: 0.0         Wynik przyblizony: 123.9848013848181       Roznica^2: 15372.230974432792   Roznica: 123.9848013848181
i:195 Wynik dokladny: 0.0         Wynik przyblizony: 140.11594286877013       Roznica^2: 19632.477446004457   Roznica: 140.11594286877013
i:196 Wynik dokladny: 0.0         Wynik przyblizony: 157.27177518620027       Roznica^2: 24734.41127021872   Roznica: 157.27177518620027
i:197 Wynik dokladny: 0.0         Wynik przyblizony: 174.0145480238783       Roznica^2: 30281.062923954643   Roznica: 174.0145480238783
i:198 Wynik dokladny: 0.0         Wynik przyblizony: 188.94112765758632       Roznica^2: 35698.74972052033   Roznica: 188.94112765758632
i:199 Wynik dokladny: 190.56         Wynik przyblizony: 200.80058704708233       Roznica^2: 104.86962306887037   Roznica: 10.240587047082329
